"EID","TYPECODE","IFHOME","B_REYEAR","B_ENDYEAR"
"405460","br120022","0","1993","2008"
"138728","br210454","1","2002",""
"405460","br60051","0","2011",""
"247652","br210455","1","2014",""
"26268","br30155","0","2014",""
"19837","br30156","0","2011","2013"
"243034","br150107","0","2011",""
"329569","br60052","0","2012",""
"225601","br30157","1","2001",""
"70824","br150109","1","1998","2008"
"405460","br1","0","2009",""
"279513","br60053","0","2005",""
"277210","br210457","0","2004",""
"402699","br3","0","2015",""
"260961","br30158","0","2007","2011"
"279513","br30159","0","2012",""
"355557","br4","1","2008","2011"
"182157","br120025","1","2008","2012"
"377799","br5","0","2006","2010"
"495201","br120027","1","2006",""
"151782","br120029","0","2010","2011"
"405460","br6","0","2002",""
"405460","br150112","0","2003",""
"363046","br120030","0","2004","2011"
"273874","br7","0","2001","2009"
"7701","br180020","1","2008","2010"
"300336","br150114","0","2013",""
"134452","br30166","1","2012",""
"405460","br90017","0","2004",""
"405460","br120031","0","2010",""
"198798","br120032","1","2010","2013"
"391525","br210459","0","2009","2011"
"225601","br30167","1","2002",""
"290509","br30168","1","2012",""
"41816","br9","0","2015",""
"279513","br210462","0","2005","2015"
"403971","br90019","1","2007","2007"
"279513","br150117","0","2001",""
"437437","br90020","1","2008",""
"295356","br90021","1","1981","2006"
"518275","br11","1","2009","2012"
"287837","br150118","0","2007","2010"
"362051","br210464","0","2012",""
"191546","br60059","0","2008",""
"279513","br120035","0","2003",""
"405460","br120036","0","2010",""
"50566","br13","0","2013",""
"234777","br210468","1","2001","2006"
"135092","br14","0","2006","2008"
"279513","br60060","0","1986",""
"169149","br210469","1","2012","2015"
"405460","br90026","0","2006",""
"279513","br180025","0","2010",""
"386751","br90027","1","2006","2012"
"243034","br150122","1","1994",""
"440072","br150124","1","2012",""
"191546","br210474","0","2008",""
"279513","br180028","0","2003",""
"405460","br210477","0","2003",""
"88461","br60063","1","2012","2015"
"169016","br210478","1","2001","2012"
"279513","br90030","0","2006",""
"405460","br180029","0","2003",""
"279513","br210479","0","2002",""
"191546","br90031","0","2008",""
"346782","br210480","0","2008","2011"
"366263","br210481","1","2008","2014"
"234136","br60064","0","2012",""
"279513","br150126","0","2001",""
"174448","br30177","1","2005",""
"406125","br30178","1","2005","2008"
"174747","br120041","1","2009",""
"456296","br30181","0","2015",""
"405460","br90035","0","2002","2008"
"78069","br30183","1","2000",""
"154335","br150128","1","2013",""
"290509","br180034","1","2006","2015"
"289636","br90036","1","2003","2008"
"390373","br17","0","2010",""
"405460","br150129","0","2004","2007"
"405460","br18","0","2003",""
"279513","br150130","0","2003",""
"134452","br30184","1","2011",""
"419969","br90037","1","2005","2007"
"405460","br30186","0","2003",""
"164284","br180036","1","2006","2007"
"405460","br60070","0","2003",""
"505181","br30187","1","2011","2013"
"108630","br60071","1","2011",""
"279513","br30189","0","2007",""
"259785","br30190","1","2002",""
"405460","br30191","0","2006",""
"417370","br30192","1","2006",""
"279513","br30193","0","2002",""
"405460","br60072","0","2002",""
"279513","br180038","0","1999",""
"405460","br23","0","2003","2005"
"100185","br60073","1","2010",""
"234962","br60074","0","2013",""
"405460","br150137","0","2005",""
"405460","br150138","0","2007",""
"405460","br120050","0","2012",""
"218763","br90040","1","2008",""
"230525","br30196","0","2012",""
"339789","br90041","0","1998","2009"
"148049","br180042","1","2014",""
"279513","br180044","0","2000",""
"405460","br90042","0","2008",""
"279513","br33","0","2001",""
"519885","br60077","0","2008","2010"
"405460","br90043","0","1997",""
"300459","br210491","0","2013",""
"405460","br120052","0","1997",""
"420908","br180046","1","2008",""
"113324","br210493","0","2003",""
"419947","br30198","0","1996","2012"
"279513","br150141","0","2005",""
"279513","br150144","0","2001",""
"256703","br180048","1","2009",""
"71708","br120054","0","2007",""
"405460","br120055","0","2006","2010"
"38158","br90046","0","2009","2012"
"405460","br60079","0","2003",""
"117725","br120056","1","2007","2009"
"317665","br30199","0","2011",""
"287200","br210494","1","2002",""
"233219","br60081","1","2000","2008"
"279513","br210495","0","2000",""
"191546","br180050","0","2009",""
"277210","br120058","0","2007",""
"279513","br60083","0","1998",""
"445006","br210496","0","2013",""
"526200","br120059","1","2007","2008"
"405460","br60084","0","2002",""
"405460","br150147","0","2014",""
"405460","br120060","0","2003",""
"279513","br90052","0","2012",""
"46442","br90053","1","2001",""
"168504","br120061","0","2012","2015"
"279513","br37","0","2015",""
"405460","br38","0","2006",""
"279513","br120062","0","1989",""
"405460","br39","0","2002",""
"279513","br90055","0","2001",""
"452251","br41","1","2003",""
"198014","br30202","1","2002",""
"279513","br90056","0","2001",""
"225601","br60086","1","2001",""
"279513","br60087","0","2014",""
"405460","br180053","0","2003","2011"
"42528","br30203","1","2013",""
"143498","br90058","1","2009",""
"159983","br180056","1","1988",""
"405460","br30205","0","2006",""
"4433","br150152","0","2014",""
"1215","br46","0","2014",""
"279513","br150153","0","2008",""
"12089","br210498","0","2011",""
"118420","br30208","0","2013",""
"241778","br150154","1","2006",""
"172836","br210499","1","2004","2006"
"405460","br49","0","2003",""
"405460","br90061","0","2005",""
"405460","br30210","0","2005",""
"405460","br180060","0","1997",""
"310509","br180062","0","2010","2015"
"277210","br180063","0","2005",""
"50566","br120064","0","2013",""
"281859","br30212","0","2011","2013"
"178710","br180064","0","2005",""
"53512","br150157","1","1999","2010"
"242738","br30213","0","2004","2010"
"279513","br210502","0","2001",""
"279513","br53","0","2000",""
"405460","br210503","0","2002",""
"38996","br90062","1","2002",""
"201178","br150158","1","1997","2008"
"405460","br120065","0","1997",""
"405460","br150159","0","2002",""
"405460","br210505","0","2003",""
"519885","br60090","0","2009",""
"282280","br60091","0","2009","2015"
"124260","br150162","0","2010","2015"
"279513","br180065","0","2004",""
"344637","br210506","0","2013",""
"48718","br30214","1","2008","2008"
"279513","br180066","0","2001",""
"279513","br60092","0","2001",""
"290135","br60093","1","2015",""
"246956","br120069","1","2006","2007"
"398188","br120070","0","2010",""
"405460","br56","0","1999",""
"407069","br57","1","2003","2008"
"405460","br60094","0","2004","2007"
"23589","br120071","1","2009",""
"405460","br210509","0","2002",""
"279513","br60096","0","2004",""
"390778","br60097","1","2004","2008"
"63066","br30216","1","2014",""
"279513","br210510","0","2002",""
"272177","br30218","0","2013",""
"105632","br150166","1","2009",""
"54560","br120075","0","2013",""
"279513","br90066","0","2010",""
"175030","br59","1","2005",""
"47175","br30221","0","2005","2006"
"279513","br30222","0","2001",""
"405460","br180070","0","2002",""
"309337","br30224","1","2013",""
"225601","br210513","1","1999",""
"279513","br180072","0","2002",""
"420209","br210514","0","2013",""
"515271","br90068","0","2011",""
"375635","br62","0","2009","2010"
"279513","br63","0","2009",""
"405460","br120080","0","2003",""
"279513","br120081","0","2008",""
"276603","br120082","0","1996","2010"
"405460","br150172","0","2003",""
"34496","br210516","1","2005",""
"163564","br30230","1","2009","2012"
"405460","br150176","0","2005","2014"
"151658","br120084","1","2008",""
"435259","br90069","0","2010","2013"
"279513","br65","0","2010",""
"279513","br150177","0","2001",""
"200005","br30231","1","2013","2014"
"340905","br60106","1","2005",""
"452218","br210517","1","2005","2014"
"452218","br150178","1","2007",""
"291498","br150179","1","2014",""
"279513","br90071","0","2001",""
"521357","br30234","0","2015",""
"48407","br210519","1","2009",""
"279513","br67","0","1991",""
"279513","br90072","0","2003",""
"279513","br210521","0","2002",""
"279513","br90074","0","2003",""
"405460","br120086","0","2008",""
"279513","br90075","0","2011",""
"279513","br180078","0","2005",""
"405460","br68","0","2002",""
"191546","br120087","0","2012",""
"474571","br120088","0","2011",""
"445583","br210522","1","2001",""
"36462","br180079","1","2004","2007"
"405460","br120089","0","2002",""
"490263","br210523","0","2008","2010"
"212864","br210524","0","2012",""
"279513","br120090","0","2002",""
"279513","br150184","1","1992",""
"70488","br69","1","2001","2008"
"279513","br150185","0","2004",""
"279513","br180081","0","2001",""
"279513","br60108","0","2002",""
"405460","br60109","0","2004",""
"241837","br150186","1","2011",""
"57758","br210528","1","2007",""
"499776","br210531","0","1995","1950"
"97829","br210532","1","2011","2014"
"384182","br120093","0","2013",""
"122142","br120094","1","1998","2008"
"405460","br210534","0","2008",""
"191546","br90077","0","2008",""
"106928","br180086","1","2007","2008"
"308991","br150188","1","2003",""
"279513","br90078","0","1990",""
"405460","br71","0","2000",""
"405460","br72","1","2003",""
"61990","br180087","0","2010",""
"261087","br90079","1","2001",""
"405460","br76","0","1996",""
"279513","br210536","0","2001",""
"80349","br60116","0","2010",""
"279513","br90081","0","2013",""
"11296","br30244","1","2006",""
"405460","br30245","0","2002","2008"
"50566","br120099","0","2014",""
"279513","br150193","0","2001","2015"
"279513","br210537","0","2001",""
"358930","br90083","0","2015",""
"242715","br120101","1","2006","2009"
"406774","br60118","1","2014",""
"447645","br150194","1","2015",""
"279513","br150195","0","2014",""
"519957","br90084","0","1995","2000"
"279513","br90085","0","2002",""
"62511","br79","1","2010","2010"
"405460","br120104","0","2002",""
"61079","br81","0","2008",""
"279513","br150197","0","2008",""
"279513","br210539","0","1989",""
"282209","br180091","1","2001",""
"198014","br82","1","2007",""
"216225","br83","0","2003","2004"
"405460","br150199","0","2004",""
"39863","br150200","1","2015",""
"382390","br30246","1","2011",""
"279513","br30247","0","2010",""
"405460","br90089","0","2003",""
"130540","br120105","1","2005","2009"
"71981","br150201","0","2006","2009"
"64191","br84","0","2012",""
"350132","br210541","0","1998","2003"
"310509","br60123","0","2015",""
"100114","br30248","0","2013",""
"279513","br30249","0","2015",""
"344637","br210543","0","2012",""
"163381","br210545","0","2012",""
"279513","br60125","0","2013",""
"358366","br180096","0","2002","2002"
"100185","br86","1","2014",""
"6333","br120107","0","2008","2012"
"405460","br87","0","2004",""
"405460","br210548","0","1996",""
"405460","br150205","0","2002",""
"98485","br30251","1","2014",""
"230398","br120108","1","2010","2013"
"85526","br120110","1","2013",""
"405460","br30252","0","2009",""
"405460","br90093","0","1997",""
"485185","br180097","1","2014",""
"405460","br90094","0","2003",""
"524014","br180098","1","2010","2011"
"329569","br180099","0","2015",""
"279513","br88","0","1996",""
"247106","br89","1","2001","2011"
"290509","br30254","1","2013",""
"96122","br30257","0","2014",""
"279513","br90095","0","2013",""
"405460","br30258","0","2006",""
"457902","br210551","1","2007","2007"
"508850","br120115","0","2009",""
"419810","br91","0","2005",""
"339088","br210552","1","2003","2010"
"279513","br210553","0","2011",""
"136003","br60132","1","2006","2011"
"141023","br210555","1","2014",""
"348204","br180104","1","2012","2014"
"405460","br90100","0","2002",""
"279513","br94","0","2005",""
"84896","br30260","1","2015",""
"296923","br210556","0","2011",""
"58978","br90101","0","2012",""
"505222","br96","1","2004",""
"405460","br210559","0","1997",""
"414288","br180106","0","2007","2008"
"144281","br180107","1","2009","2012"
"279513","br120118","0","2005",""
"279513","br60136","0","2000",""
"405460","br120119","0","2004",""
"405460","br120120","0","2014",""
"419810","br120121","0","2005",""
"405460","br60138","0","2009",""
"122040","br180111","1","2002","2007"
"499918","br180112","0","2009",""
"346269","br60141","1","2010","2011"
"279513","br210562","0","2001",""
"189723","br90105","0","2014",""
"405460","br60142","0","1997",""
"405460","br120124","0","2003",""
"518948","br100","0","2014",""
"279513","br60143","0","2011",""
"191546","br30266","0","2010",""
"393828","br150215","1","2008",""
"405460","br150217","0","2006",""
"346113","br150218","1","2010","2013"
"191546","br120125","0","2008",""
"279513","br60145","0","2001",""
"377160","br30268","1","2010",""
"405460","br180115","0","2005",""
"279513","br180116","0","2013",""
"279513","br90107","0","2003",""
"405460","br180117","0","1997",""
"405460","br103","0","2003",""
"405460","br104","0","2003",""
"36120","br106","0","2015",""
"279513","br120126","0","2003",""
"279513","br210564","0","2015",""
"405460","br60151","0","2006",""
"150616","br90110","0","2010",""
"420862","br180120","0","2009",""
"382390","br150220","1","2013",""
"279513","br180121","0","2015",""
"288518","br90112","1","2014","2014"
"405460","br90113","0","2003",""
"279513","br108","0","2013",""
"384131","br110","1","1981",""
"134517","br30277","1","2012",""
"279513","br150222","0","2014",""
"154246","br30279","1","2004","2010"
"4439","br30281","1","2015",""
"51750","br60156","0","2009",""
"249926","br112","1","2009","2014"
"89149","br30282","1","2010",""
"397023","br120130","1","2012",""
"475860","br114","0","2013",""
"279513","br60158","0","2001",""
"301111","br150224","1","2010",""
"400685","br120132","1","2011",""
"405460","br115","0","1997",""
"405460","br210570","0","2007","2015"
"405460","br90117","0","2003",""
"405460","br60161","0","2004",""
"405460","br60163","0","2002",""
"405460","br210571","0","1998","2013"
"220954","br30283","0","2010",""
"405460","br90119","0","2005",""
"36749","br90121","1","2011",""
"198014","br118","1","1999",""
"279513","br210572","0","2014",""
"395468","br180127","0","2007","2012"
"279513","br119","0","2006",""
"279513","br120137","0","2011",""
"503637","br180128","0","2013",""
"191546","br180129","0","2013",""
"278521","br180130","0","1994","2009"
"405460","br30285","0","2004",""
"405460","br30286","0","2002",""
"390786","br60167","1","2005",""
"405460","br120138","0","2008",""
"268578","br30287","0","2002",""
"209627","br90127","0","2014",""
"511697","br210575","1","2014",""
"405460","br150228","0","1999",""
"405460","br180132","0","2002",""
"191546","br150229","0","2010",""
"279513","br210576","0","2007",""
"279513","br210577","0","2002",""
"50566","br30289","1","2012",""
"235352","br120142","1","2004","2011"
"143026","br180134","0","2005","2012"
"326267","br60170","0","2010","2012"
"245054","br150232","0","2013",""
"321314","br124","1","2012",""
"314710","br125","0","2005",""
"329569","br180136","0","2011",""
"405460","br210581","0","2007","2012"
"279513","br90130","0","2012",""
"373262","br60173","0","2007","2015"
"405460","br150233","0","2002",""
"31276","br90131","1","2006",""
"405460","br180137","0","1998",""
"404165","br180139","1","2011","2012"
"279513","br120145","0","2006",""
"405460","br210583","0","2008","2012"
"191546","br30294","0","2013",""
"365825","br120146","1","2005","2007"
"323223","br60175","1","2013","2014"
"182817","br150234","1","2014",""
"405460","br128","0","1997",""
"405460","br210584","0","2003",""
"63824","br90134","0","2007",""
"405460","br129","0","1997",""
"279513","br150235","0","2005",""
"405460","br30295","0","2003",""
"405460","br150236","0","1999",""
"405460","br210585","0","2003","2013"
"405460","br150237","0","2003",""
"279513","br60178","0","2014",""
"279513","br90136","0","2001",""
"6758","br210587","0","2002",""
"405460","br90137","0","2003",""
"221532","br150238","0","2011",""
"452640","br210588","0","2014","2014"
"167050","br150239","0","2010",""
"299729","br90138","1","2007",""
"103086","br30296","1","2010",""
"279513","br60179","0","2000",""
"503637","br150240","0","2004",""
"277210","br90139","0","2005",""
"261674","br120151","1","2009","2012"
"405460","br180145","0","2003",""
"405460","br30298","0","1996",""
"225601","br180146","1","1992",""
"401446","br210590","1","2011","2014"
"279513","br30300","0","2014",""
"279513","br133","0","2001",""
"40604","br120153","0","2009",""
"497178","br60181","1","2008","2010"
"405460","br180148","0","2006",""
"220691","br30301","1","2004","2015"
"404165","br30303","1","2011",""
"279513","br60182","0","2002",""
"364079","br150242","1","2015",""
"405460","br134","0","2002","2006"
"405460","br135","0","1997",""
"428964","br150243","0","2010","2014"
"279513","br90144","0","2001",""
"4433","br30305","1","2014",""
"78069","br180151","1","1996","2011"
"405460","br150244","0","2002",""
"381915","br60183","1","2013",""
"405460","br136","0","2009",""
"405460","br30307","0","2010",""
"430006","br150246","0","2007","2009"
"405460","br137","0","2003",""
"279513","br60184","0","2010",""
"373327","br120156","1","2006","2008"
"405460","br120158","0","2011",""
"405460","br210594","0","2003",""
"282385","br90148","1","2008","2013"
"279513","br180158","0","2002",""
"296747","br210595","1","2014",""
"405460","br150250","0","2006",""
"279513","br60190","0","2003",""
"391525","br90150","0","2008","2010"
"405460","br90151","0","2006",""
"523943","br150251","0","2005","2011"
"405460","br120164","0","2002",""
"408938","br180159","0","2005",""
