EID,BTEID,IFHOME,BTBL,BTYEAR,BTENDYEAR,TZ_CNT,TZ_INHOME_CNT,TZ_OUTHOME_CNT,TZ_INHOME_RATE,TZ_OUTHOME_RATE,TZ_CLOSE_CNT,TZ_OPEN_CNT,TZ_CLOSE_RATE,TZ_OPEN_RATE,TZ_BTBL_AVG,TZ_QY_FIRST_TIME,TZ_QY_END_TIME,TZ_FIRST_CLOSE_TIME
131072.0,[720821],[1],[ 0.167],[2014],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.16699999999999998,2014-01,2014-01,2018-01
163840.0,[677855  56365  16168],[1 1 1],[ 0.5  0.5  0.5],[2006 2004 2009],[ 2018.  2018.  2018.],3,3,0,1.0,0.0,0,3,0.0,1.0,0.5,2006-01,2009-01,2018-01
458753.0,[486241],[1],[ 0.5],[2013],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.5,2013-01,2013-01,2018-01
4.0,[645315 416106 100322],[0 1 1],[ 0.62   0.014  0.6  ],[2011 2011 2011],[ 2018.  2018.  2018.],3,2,1,0.6666666666666666,0.3333333333333333,0,3,0.0,1.0,0.41133333333333333,2011-01,2011-01,2018-01
491524.0,[63289],[1],[ 1.],[2014],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,1.0,2014-01,2014-01,2018-01
65546.0,[668625 634192],[1 1],[ 0.1  0.1],[2013 2009],[ 2018.  2018.],2,2,0,1.0,0.0,0,2,0.0,1.0,0.1,2013-01,2009-01,2018-01
458764.0,[636660 102610],[1 1],[ 0.5  1. ],[2011 2002],[ 2018.  2018.],2,2,0,1.0,0.0,0,2,0.0,1.0,0.75,2011-01,2002-01,2018-01
294926.0,[733260],[0],[ 0.4],[2015],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.4,2015-01,2015-01,2018-01
426001.0,[668044 633165],[1 1],[ 0.023  0.164],[2013 2015],[ 2018.  2018.],2,2,0,1.0,0.0,0,2,0.0,1.0,0.09349999999999999,2013-01,2015-01,2018-01
491537.0,[733664 688020 646899 344776],[0 1 0 1],[ 0.5    0.28   0.333  0.3  ],[2014 2009 2006 2015],[ 2018.  2018.  2018.  2018.],4,2,2,0.5,0.5,0,4,0.0,1.0,0.35325,2014-01,2015-01,2018-01
371239.0,[231530],[1],[ 1.],[2011],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,1.0,2011-01,2011-01,2018-01
393240.0,[694105 651869],[0 1],[ 0.3  0.4],[2000 2007],[ 2002.  2012.],2,1,1,0.5,0.5,2,0,1.0,0.0,0.35,2000-01,2007-01,2002-01
