EID,BTEID,IFHOME,BTBL,BTYEAR,BTENDYEAR,TZ_CNT,TZ_INHOME_CNT,TZ_OUTHOME_CNT,TZ_INHOME_RATE,TZ_OUTHOME_RATE,TZ_CLOSE_CNT,TZ_OPEN_CNT,TZ_CLOSE_RATE,TZ_OPEN_RATE,TZ_BTBL_AVG,IS_TZ_ACTIVE,TZ_QY_FIRST_TIME,TZ_QY_END_TIME,TZ_FIRST_CLOSE_TIME
163840,[ 56365 677855  16168],[1 1 1],[ 0.5  0.5  0.5],[2004 2006 2009],[ 2018.  2018.  2018.],3,3,0,1.0,0.0,0,3,0.0,1.0,0.5,1,2004-01,2009-01,2018-01
458753,[486241],[1],[ 0.5],[2013],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.5,1,2013-01,2013-01,2018-01
131072,[720821],[1],[ 0.167],[2014],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.16699999999999998,1,2014-01,2014-01,2018-01
4,[645315 416106 100322],[0 1 1],[ 0.62   0.014  0.6  ],[2011 2011 2011],[ 2018.  2018.  2018.],3,2,1,0.6666666666666666,0.3333333333333333,0,3,0.0,1.0,0.41133333333333333,1,2011-01,2011-01,2018-01
491524,[63289],[1],[ 1.],[2014],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,1.0,1,2014-01,2014-01,2018-01
65546,[634192 668625],[1 1],[ 0.1  0.1],[2009 2013],[ 2018.  2018.],2,2,0,1.0,0.0,0,2,0.0,1.0,0.1,1,2009-01,2013-01,2018-01
458764,[102610 636660],[1 1],[ 1.   0.5],[2002 2011],[ 2018.  2018.],2,2,0,1.0,0.0,0,2,0.0,1.0,0.75,1,2002-01,2011-01,2018-01
294926,[733260],[0],[ 0.4],[2015],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.4,1,2015-01,2015-01,2018-01
491537,[646899 688020 733664 344776],[0 1 0 1],[ 0.333  0.28   0.5    0.3  ],[2006 2009 2014 2015],[ 2018.  2018.  2018.  2018.],4,2,2,0.5,0.5,0,4,0.0,1.0,0.35325,1,2006-01,2015-01,2018-01
426001,[668044 633165],[1 1],[ 0.023  0.164],[2013 2015],[ 2018.  2018.],2,2,0,1.0,0.0,0,2,0.0,1.0,0.09349999999999999,1,2013-01,2015-01,2018-01
393240,[694105 651869],[0 1],[ 0.3  0.4],[2000 2007],[ 2002.  2012.],2,1,1,0.5,0.5,2,0,1.0,0.0,0.35,1,2000-01,2007-01,2002-01
327704,[658108 715903 728599 127857],[0 1 1 1],[ 0.45  1.    1.    0.01],[2006 2009 2012 2015],[ 2018.  2018.  2018.  2018.],4,3,1,0.75,0.25,0,4,0.0,1.0,0.615,1,2006-01,2015-01,2018-01
360476,[155796],[1],[ 0.7],[2013],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.7,1,2013-01,2013-01,2018-01
163873,[636136],[0],[ 0.2],[2011],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.2,1,2011-01,2011-01,2018-01
65569,[675611 625524],[0 0],[ 0.51  0.51],[2013 2013],[ 2018.  2018.],2,0,2,0.0,1.0,0,2,0.0,1.0,0.51,1,2013-01,2013-01,2018-01
38,[358858],[1],[ 0.7],[2013],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.7,1,2013-01,2013-01,2018-01
229414,[660124],[0],[ 0.25],[2015],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.25,1,2015-01,2015-01,2018-01
163882,[697463 667168 642763],[1 1 1],[ 1.  1.  1.],[2014 2015 2015],[ 2018.  2018.  2018.],3,3,0,1.0,0.0,0,3,0.0,1.0,1.0,1,2014-01,2015-01,2018-01
360492,[719647 696145],[0 0],[ 0.226  0.57 ],[2006 2008],[ 2011.  2018.],2,0,2,0.0,1.0,1,1,0.5,0.5,0.39799999999999996,1,2006-01,2008-01,2011-01
491567,[691295 649685 727779 739948 662954 506216 234969 719950 724856 687359],[1 1 0 0 0 1 1 0 0 0],[ 0.1   0.5   0.7   0.45  0.2   1.    0.85  1.    1.    1.  ],[2002 2003 2004 2006 2006 2006 2006 2008 2011 2012],[ 2018.  2018.  2018.  2013.  2018.  2018.  2018.  2009.  2018.  2018.],10,4,6,0.4,0.6,2,8,0.2,0.8,0.6799999999999999,1,2002-01,2012-01,2018-01
426032,"[671557 701230 671811 654020 101977 704127 703566 473374 455420  86934
 710868]",[1 0 0 0 1 1 0 1 1 1 0],[ 0.889  1.     1.     1.     0.51   0.5    0.4    0.15   0.85   0.5    0.1  ],[2007 2009 2010 2013 2013 2014 2014 2014 2014 2014 2015],"[ 2018.  2011.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.
  2018.]",11,6,5,0.5454545454545454,0.45454545454545453,1,10,0.09090909090909091,0.9090909090909091,0.6271818181818181,1,2007-01,2015-01,2018-01
262193,[652587 641050],[0 0],[ 1.  1.],[2014 2015],[ 2018.  2018.],2,0,2,0.0,1.0,0,2,0.0,1.0,1.0,1,2014-01,2015-01,2018-01
196658,[303192 410496 339968],[1 1 1],[ 0.79   0.685  0.32 ],[2005 2008 2012],[ 2018.  2018.  2018.],3,3,0,1.0,0.0,0,3,0.0,1.0,0.5983333333333334,1,2005-01,2012-01,2018-01
51,[683972 683972 703685  59082 505956],[0 0 0 1 1],[ 0.072  0.072  0.147  0.142  0.133],[2002 2002 2007 2014 2015],[ 2018.  2018.  2018.  2018.  2018.],5,2,3,0.4,0.6,0,5,0.0,1.0,0.11320000000000001,1,2002-01,2015-01,2018-01
98358,[713945],[0],[ 0.25],[2000],[ 2004.],1,0,1,0.0,1.0,1,0,1.0,0.0,0.25,1,2000-01,2000-01,2004-01
56,[472095 677963 470602 716998 688765 644073 506240 341059 245764],[1 1 1 0 0 0 1 1 1],[ 0.4    1.     1.     0.7    0.75   0.7    0.333  1.     1.   ],[2004 2007 2014 2015 2015 2015 2015 2015 2015],[ 2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.],9,6,3,0.6666666666666666,0.3333333333333333,0,9,0.0,1.0,0.7647777777777777,1,2004-01,2015-01,2018-01
32824,[655358 715982 700372],[0 0 0],[ 0.05   0.05   0.143],[2008 2008 2009],[ 2014.  2018.  2018.],3,0,3,0.0,1.0,1,2,0.3333333333333333,0.6666666666666666,0.081,1,2008-01,2009-01,2014-01
327738,[461143],[1],[ 0.75],[1999],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.75,1,1999-01,1999-01,2018-01
524347,[465044 668939],[1 1],[ 0.5   0.99],[1993 1999],[ 2018.  2018.],2,2,0,1.0,0.0,0,2,0.0,1.0,0.745,1,1993-01,1999-01,2018-01
196666,[649497],[1],[ 0.49],[2008],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.49,1,2008-01,2008-01,2018-01
65593,[631694],[0],[ 0.97],[2009],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.97,1,2009-01,2009-01,2018-01
262206,"[722778 730932 651493 738123 685418 715311 708250 738317 737346 668590
 641167]",[0 0 0 0 1 0 1 0 0 0 1],"[ 0.8    0.09   0.45   0.589  0.514  0.002  0.5    0.5    0.475  0.571
  0.333]",[2003 2008 2010 2011 2012 2014 2014 2015 2015 2015 2015],"[ 2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.  2018.
  2018.]",11,3,8,0.2727272727272727,0.7272727272727273,0,11,0.0,1.0,0.4385454545454545,1,2003-01,2015-01,2018-01
458814,[734749],[0],[ 0.061],[2005],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.061,1,2005-01,2005-01,2018-01
524352,[626181],[1],[ 1.],[2004],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,1.0,1,2004-01,2004-01,2018-01
64,[685695 647057],[1 0],[ 0.49  1.  ],[2009 2010],[ 2018.  2018.],2,1,1,0.5,0.5,0,2,0.0,1.0,0.745,1,2009-01,2010-01,2018-01
65604,[405873 725211 656960 295119],[1 1 1 1],[ 0.5  1.   0.5  1. ],[2010 2013 2013 2013],[ 2018.  2018.  2018.  2018.],4,4,0,1.0,0.0,0,4,0.0,1.0,0.75,1,2010-01,2013-01,2018-01
524360,[716018 730980 717898 703557],[1 1 0 0],[ 1.     0.599  0.6    0.05 ],[1998 1999 2005 2013],[ 2018.  2008.  2018.  2018.],4,2,2,0.5,0.5,1,3,0.25,0.75,0.5622499999999999,1,1998-01,2013-01,2018-01
458825,[665346 649121 711945 708173],[0 0 0 0],[ 1.     0.9    0.091  0.1  ],[2013 2013 2014 2015],[ 2018.  2018.  2018.  2018.],4,0,4,0.0,1.0,0,4,0.0,1.0,0.5227499999999999,1,2013-01,2015-01,2018-01
65610,[701314 331487 671175 143218 679484 671797 629982 736659 718897],[1 1 1 1 1 0 0 0 0],[ 1.     1.     0.047  1.     0.5    1.     1.     1.     0.55 ],[1985 1988 1993 1993 1994 2000 2002 2003 2009],[ 2018.  2018.  2018.  2018.  2011.  2007.  2007.  2004.  2018.],9,5,4,0.5555555555555556,0.4444444444444444,4,5,0.4444444444444444,0.5555555555555556,0.7885555555555555,1,1985-01,2009-01,2018-01
229451,[695972],[0],[ 0.023],[2012],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.023,1,2012-01,2012-01,2018-01
524365,"[692244 688866 673855  55378 659606 677931 652343 645802 390974 322017
 251984 234771 105187 705048 627916]",[0 0 0 1 1 1 1 1 1 1 1 1 1 1 1],"[ 1.     1.     1.     1.     1.     1.     1.     1.     1.     1.     1.
  1.     1.     0.999  0.81 ]",[2007 2007 2007 2007 2008 2008 2008 2008 2008 2008 2008 2008 2008 2014 2014],"[ 2018.  2018.  2018.  2018.  2012.  2018.  2018.  2018.  2018.  2018.
  2018.  2018.  2018.  2018.  2018.]",15,12,3,0.8,0.2,1,14,0.06666666666666667,0.9333333333333333,0.9872666666666667,1,2007-01,2014-01,2018-01
131149,[681219],[0],[ 0.1],[2011],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.1,1,2011-01,2011-01,2018-01
327760,[667565],[1],[ 0.8],[2003],[ 2014.],1,1,0,1.0,0.0,1,0,1.0,0.0,0.8,1,2003-01,2003-01,2014-01
524368,[241919],[1],[ 0.332],[2014],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.332,1,2014-01,2014-01,2018-01
196690,[623897],[0],[ 0.1],[2013],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.1,1,2013-01,2013-01,2018-01
32851,[287079 139804 626646 683053 679285],[1 1 1 1 1],[ 1.   0.5  0.5  1.   1. ],[2013 2013 2014 2015 2015],[ 2018.  2018.  2018.  2018.  2018.],5,5,0,1.0,0.0,0,5,0.0,1.0,0.8,1,2013-01,2015-01,2018-01
458834,[662129],[1],[ 0.7],[2015],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.7,1,2015-01,2015-01,2018-01
196693,[500924],[1],[ 0.035],[2008],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.035,1,2008-01,2008-01,2018-01
163926,[657979],[0],[ 0.45],[2008],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.45,1,2008-01,2008-01,2018-01
131157,[631834],[0],[ 1.],[2009],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,1.0,1,2009-01,2009-01,2018-01
458841,[639945],[1],[ 0.5],[2005],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.5,1,2005-01,2005-01,2018-01
295001,[684152 722574],[0 0],[ 1.   0.8],[2008 2011],[ 2018.  2018.],2,0,2,0.0,1.0,0,2,0.0,1.0,0.9,1,2008-01,2011-01,2018-01
295003,[647439],[0],[ 0.155],[2014],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.155,1,2014-01,2014-01,2018-01
262236,[697222],[1],[ 1.],[2013],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,1.0,1,2013-01,2013-01,2018-01
163931,[269253],[1],[ 0.1],[2015],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.1,1,2015-01,2015-01,2018-01
491614,[691442 451653 729587],[1 1 1],[ 0.3   0.5   0.65],[2014 2014 2015],[ 2018.  2018.  2018.],3,3,0,1.0,0.0,0,3,0.0,1.0,0.4833333333333334,1,2014-01,2015-01,2018-01
524383,[117271],[1],[ 1.],[2014],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,1.0,1,2014-01,2014-01,2018-01
295008,[703348],[1],[ 0.5],[2009],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.5,1,2009-01,2009-01,2018-01
131168,[350477],[1],[ 1.],[2014],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,1.0,1,2014-01,2014-01,2018-01
524379,[652925],[1],[ 0.3],[2015],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.3,1,2015-01,2015-01,2018-01
524387,[727440 695710],[1 0],[ 0.2   0.01],[2000 2012],[ 2011.  2018.],2,1,1,0.5,0.5,1,1,0.5,0.5,0.10500000000000001,1,2000-01,2012-01,2011-01
163943,[513667],[1],[ 0.5],[2015],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.5,1,2015-01,2015-01,2018-01
229480,[731335],[0],[ 0.3],[2003],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.3,1,2003-01,2003-01,2018-01
196713,[637088],[0],[ 1.],[2007],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,1.0,1,2007-01,2007-01,2018-01
163948,[682463],[1],[ 0.038],[2008],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.038,1,2008-01,2008-01,2018-01
98413,[732912],[1],[ 0.6],[1999],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.6,1,1999-01,1999-01,2018-01
131181,[649679],[0],[ 0.135],[2012],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.135,1,2012-01,2012-01,2018-01
109,[649282],[0],[ 0.22],[2014],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.22,1,2014-01,2014-01,2018-01
32880,[444842],[1],[ 0.5],[2009],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.5,1,2009-01,2009-01,2018-01
360560,[739436 708356 694509 693058 684868 657740],[0 0 0 0 0 0],[ 0.01  0.05  0.1   0.01  0.01  0.01],[2013 2013 2013 2013 2013 2013],[ 2018.  2018.  2018.  2018.  2018.  2018.],6,0,6,0.0,1.0,0,6,0.0,1.0,0.03166666666666667,1,2013-01,2013-01,2018-01
491634,[421540],[1],[ 0.008],[1999],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.008,1,1999-01,1999-01,2018-01
163955,[662727],[0],[ 0.6],[1997],[ 2010.],1,0,1,0.0,1.0,1,0,1.0,0.0,0.6,1,1997-01,1997-01,2010-01
426100,[736069],[0],[ 0.75],[2003],[ 2003.],1,0,1,0.0,1.0,1,0,1.0,0.0,0.75,1,2003-01,2003-01,2003-01
327797,[340607 709789 668113],[1 0 1],[ 0.367  0.45   0.02 ],[2010 2011 2011],[ 2018.  2018.  2018.],3,2,1,0.6666666666666666,0.3333333333333333,0,3,0.0,1.0,0.279,1,2010-01,2011-01,2018-01
131187,[ 69704 635388],[1 1],[ 0.811  1.   ],[2012 2013],[ 2018.  2018.],2,2,0,1.0,0.0,0,2,0.0,1.0,0.9055,1,2012-01,2013-01,2018-01
295026,[688999 656984 696515 643737 631543],[0 0 0 0 0],[ 1.  1.  1.  1.  1.],[2013 2013 2014 2014 2014],[ 2018.  2018.  2018.  2018.  2018.],5,0,5,0.0,1.0,0,5,0.0,1.0,1.0,1,2013-01,2014-01,2018-01
131192,[118633],[1],[ 0.2],[2014],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.2,1,2014-01,2014-01,2018-01
393338,[ 64812 638817],[1 0],[ 1.   0.1],[2010 2012],[ 2018.  2018.],2,1,1,0.5,0.5,0,2,0.0,1.0,0.55,1,2010-01,2012-01,2018-01
65658,[126919],[1],[ 0.01],[2015],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.01,1,2015-01,2015-01,2018-01
327804,[682263],[1],[ 0.867],[2005],[ 2008.],1,1,0,1.0,0.0,1,0,1.0,0.0,0.867,1,2005-01,2005-01,2008-01
196734,[626951],[1],[ 0.5],[2012],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.5,1,2012-01,2012-01,2018-01
393343,[724437 691623 279342],[1 1 1],[ 0.7   0.9   0.99],[2009 2009 2009],[ 2018.  2018.  2018.],3,3,0,1.0,0.0,0,3,0.0,1.0,0.8633333333333333,1,2009-01,2009-01,2018-01
458880,[660475],[1],[ 1.],[1996],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,1.0,1,1996-01,1996-01,2018-01
262272,[649560],[0],[ 0.15],[2003],[ 2018.],1,0,1,0.0,1.0,0,1,0.0,1.0,0.15,1,2003-01,2003-01,2018-01
327813,[644029 641254],[1 1],[ 0.333  0.2  ],[2006 2013],[ 2018.  2018.],2,2,0,1.0,0.0,0,2,0.0,1.0,0.26649999999999996,1,2006-01,2013-01,2018-01
524425,[654279 148032],[1 1],[ 0.33  0.1 ],[2015 2015],[ 2018.  2018.],2,2,0,1.0,0.0,0,2,0.0,1.0,0.21500000000000002,1,2015-01,2015-01,2018-01
32906,[646384 722234 686742 682132],[1 1 1 0],[ 0.2  1.   0.1  1. ],[2010 2015 2015 2015],[ 2018.  2018.  2018.  2018.],4,3,1,0.75,0.25,0,4,0.0,1.0,0.575,1,2010-01,2015-01,2018-01
426122,[77906],[1],[ 0.6],[2014],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.6,1,2014-01,2014-01,2018-01
295052,[256069],[1],[ 0.862],[2009],[ 2018.],1,1,0,1.0,0.0,0,1,0.0,1.0,0.862,1,2009-01,2009-01,2018-01
65679,[682233 638507],[1 0],[ 0.085  1.   ],[2003 2014],[ 2011.  2018.],2,1,1,0.5,0.5,1,1,0.5,0.5,0.5425,1,2003-01,2014-01,2011-01
