"EID","BTEID","IFHOME","BTBL","BTYEAR","BTENDYEAR"
"1382","11833","1","0.2","2015",""
"2480","672379","0","0.75","2005",""
"2863","687788","0","0.429","2013",""
"3160","673816","1","0.8","2004","2006"
"3443","729048","0","1","2011",""
"3728","699204","0","0.25","2009",""
"3837","689504","1","1","1990",""
"3837","686941","1","1","1988","2007"
"3837","673100","1","1","1980",""
"3837","643007","1","1","1992",""
"3837","641731","1","1","1987",""
"3837","242098","1","1","1981",""
"3837","215516","1","1","1989",""
"3837","175841","1","1","1998",""
"3837","129798","1","1","1992",""
"4253","666183","0","0.8","2013",""
"4253","475585","1","0.8","2013",""
"4950","655996","0","0.2","2010",""
"5986","695650","0","0.39","2015",""
"6012","691434","1","0.4","2011",""
"6890","649269","1","0.207","2013",""
"6890","645120","1","1","2013",""
"7004","87847","1","0.003","2014",""
"7682","641080","1","1","2012",""
"7682","199675","1","1","2009",""
"7682","151295","1","1","2014",""
"7708","730796","1","0.167","2006",""
"8410","623820","0","0.4","2001","2012"
"8812","658959","1","0.333","2009",""
"10253","735703","0","1","2006",""
"10253","713624","0","1","2004",""
"10253","707925","0","0.51","2014",""
"10253","705204","0","0.52","2004",""
"10253","700126","0","0.51","1996",""
"10253","689218","0","0.5","2005",""
"10253","670336","0","0.42","1993",""
"10253","661844","0","0.06","2009",""
"10253","660301","1","0.51","2012",""
"10643","683313","0","0.5","2013",""
"10643","427492","1","0.05","2000",""
"10644","478707","1","0.101","2002",""
"12449","732758","1","1","1999","2014"
"12449","685719","1","1","1999","2013"
"12449","633518","1","1","1993","2007"
"12449","450692","1","1","1991",""
"12449","342805","1","0.2","1997",""
"12449","275111","1","0.29","1985",""
"12968","714674","0","0.35","2012",""
"14032","496114","1","1","2006",""
"14454","709376","1","0.3","2011","2013"
"14711","694753","0","0.195","2015",""
"18078","722710","0","1","1985",""
"18078","697885","1","0.25","1989",""
"18078","676422","1","0.1","1991",""
"18078","667001","0","0.04","2010",""
"18078","648380","0","0.5","1984","1996"
"18078","642198","1","1","1996",""
"18078","333043","1","0.335","2013",""
"18078","256877","1","1","1987",""
"18078","120530","1","1","2011",""
"18884","725922","1","0.99","2007","2008"
"18884","713585","0","0.51","2011","2013"
"18884","704124","0","0.1","2008",""
"18884","687515","0","0.022","2008",""
"18884","685463","1","0.99","2007","2008"
"18884","639656","1","1","2010","2013"
"20807","633728","0","0.7","2003","2010"
"20807","157577","1","0.4","2000",""
"21730","661509","1","0.05","2014",""
"21897","637681","1","0.6","2014",""
"22099","642834","0","0.2","2014",""
"22699","696093","0","0.858","2014",""
"22699","634450","0","1","2014",""
"24156","733091","0","0.41","2013",""
"24797","698769","1","0.071","1991",""
"25246","674331","1","0.333","2014",""
"25246","648252","1","0.333","2014",""
"25758","701826","0","0.993","2007",""
"25758","672203","1","0.61","2002",""
"26174","358473","1","0.12","2010",""
"26750","718093","0","0.9","2006","2008"
"26750","673789","1","0.417","2002","2008"
"27147","642275","1","0.333","2003",""
"28007","702897","1","1","2004",""
"28007","464373","1","1","1983",""
"28007","225018","1","1","2010",""
