"EID","TYPECODE","DJDATE","IFHOME"
"3273","5523256","2015-07","0"
"3649","4073327","2014-03","1"
"4253","4445461","2014-08","0"
"4595","3184459","2013-12","0"
"4595","3214578","2013-12","0"
"4595","5697433","2015-08","0"
"5986","3178183","2013-12","1"
"5986","4978313","2015-02","1"
"5986","4163856","2014-05","0"
"5986","4576965","2014-09","1"
"5986","4597604","2014-09","1"
"5986","4059347","2014-03","1"
"5986","4456679","2014-08","1"
"5986","5785727","2015-08","1"
"5986","4969513","2015-01","1"
"5986","5657630","2015-08","1"
"5986","4378910","2014-07","1"
"7708","4408385","2014-07","1"
"7708","4285289","2014-06","1"
"7708","5659151","2015-08","1"
"7708","5461591","2015-06","1"
"8755","3229842","2013-12","1"
"8755","3979963","2014-01","1"
"8755","3979956","2014-01","1"
"8755","3977471","2014-01","1"
"9366","4047511","2014-03","1"
"10253","4689468","2014-11","1"
"10253","4838571","2014-12","1"
"12168","4798672","2014-12","0"
"18078","3212613","2013-12","0"
"18078","5450301","2015-06","0"
"18078","3147049","2013-11","1"
"18078","3238270","2013-12","1"
"18078","3175126","2013-12","1"
"18078","3176491","2013-12","0"
"18078","3051600","2013-10","1"
"18078","3107479","2013-11","1"
"18078","3238267","2013-12","1"
"18078","3012182","2013-09","0"
"18078","3205187","2013-12","0"
"18078","3211365","2013-12","0"
"18078","2975332","2013-09","1"
"18078","2986211","2013-09","0"
"18078","2984858","2013-09","1"
"18078","3131957","2013-11","0"
"18078","3034146","2013-09","1"
"18078","3186439","2013-12","0"
"18078","3155461","2013-11","0"
"18078","2987965","2013-09","0"
"18078","3091518","2013-10","0"
"18078","3018115","2013-09","0"
"18078","3090719","2013-10","1"
"18078","3181348","2013-12","1"
"18078","3111328","2013-11","1"
"18078","3011718","2013-09","0"
"18078","2970973","2013-09","1"
"18078","2987966","2013-09","0"
"18078","3026060","2013-09","1"
"18078","3010226","2013-09","1"
"18078","3008376","2013-09","0"
"18078","3092044","2013-10","0"
"18078","3019955","2013-09","1"
"18078","3094290","2013-10","1"
"18078","3148091","2013-11","0"
"18078","3031875","2013-09","0"
"18078","3142248","2013-11","0"
"18078","5224419","2015-04","0"
"18078","3178534","2013-12","0"
"18078","3184515","2013-12","0"
"18078","3052750","2013-10","1"
"18078","3228918","2013-12","0"
"18078","3122823","2013-11","1"
"18078","3212964","2013-12","0"
