EID,TYPECODE,DJDATE,IFHOME,PROJECT_CNT,PROJECT_INHOME_CNT,PROJECT_OUTHOME_CNT,PROJECT_INHOME_RATE,PROJECT_OUTHOME_RATE,PROJECT_TYPECODE_CNT,PROJECT_FIRST_TYPECODE,PROJECT_END_TYPECODE,PROJECT_FIRST_TIME,PROJECT_END_TIME
442371,"[4608116 4528561 4249574 4085292 5510188 5155047 4048897 4831014 4061346
 4139933 4385327 4548718]","['2014-10' '2014-09' '2014-06' '2014-04' '2015-07' '2015-04' '2014-03'
 '2014-12' '2014-03' '2014-05' '2014-07' '2014-09']",[0 0 1 0 0 0 0 0 1 0 0 1],12,3,9,0.25,0.75,12,4608116,4548718,2014-10,2014-09
483333,[5220850],['2015-04'],[1],1,1,0,1.0,0.0,1,5220850,5220850,2015-04,2015-04
5,"[3043993 3179032 3021080 3008091 3244329 3221319 3087834 4496955 4081116
 5284496 4700156 4343625 5555845 5781251 4098817 4856736 5234812 4264523
 4544950 4758928 5375958 4175080]","['2013-10' '2013-12' '2013-09' '2013-09' '2013-12' '2013-12' '2013-10'
 '2014-08' '2014-04' '2015-05' '2014-11' '2014-07' '2015-07' '2015-08'
 '2014-04' '2014-12' '2015-04' '2014-06' '2014-09' '2014-11' '2015-06'
 '2014-05']",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],22,22,0,1.0,0.0,22,3043993,4175080,2013-10,2014-05
417798,[4995335 4899767 4962907 4893656],['2015-02' '2015-01' '2015-01' '2014-12'],[1 1 1 1],4,4,0,1.0,0.0,4,4995335,4893656,2015-02,2014-12
270344,"[3215071 3180516 3201216 3100025 4861189 3033594 3146691 3190142 5770523
 2978972 3237859 5739075 3003596 3205716 3031458 3141695 3126921 5199543
 3225528 3096021 5074633 3995007 5781700 4020260 5048045 4486920 4506695
 5554092 4489069 4177427 4046092 4273896 4332155 5489500 4314490 5378050
 5759030 5378048 4639116 5453063 5205149 4624674 4184154 4176669 3975508
 4571541 5265441 5677062 5066512 4049573 4230394 5779784 5005193 5316852
 4544460 4992977 5489507 5239864 4049301 5676460 4886034 4644585 4093550
 4498756 5266736 4817889 5092976 4633615 4775963 4135039 5034275 4605145
 5355021 5734196 4657359 4651625]","['2013-12' '2013-12' '2013-12' '2013-11' '2014-12' '2013-09' '2013-11'
 '2013-12' '2015-08' '2013-09' '2013-12' '2015-08' '2013-09' '2013-12'
 '2013-09' '2013-11' '2013-11' '2015-04' '2013-12' '2013-11' '2015-03'
 '2014-01' '2015-08' '2014-02' '2015-03' '2014-08' '2014-09' '2015-07'
 '2014-08' '2014-05' '2014-03' '2014-06' '2014-07' '2015-06' '2014-07'
 '2015-06' '2015-08' '2015-06' '2014-10' '2015-06' '2015-04' '2014-10'
 '2014-05' '2014-05' '2014-01' '2014-09' '2015-05' '2015-08' '2015-03'
 '2014-03' '2014-06' '2015-08' '2015-02' '2015-05' '2014-09' '2015-02'
 '2015-06' '2015-04' '2014-03' '2015-08' '2014-12' '2014-10' '2014-04'
 '2014-08' '2015-05' '2014-12' '2015-03' '2014-10' '2014-11' '2014-04'
 '2015-03' '2014-10' '2015-05' '2015-08' '2014-10' '2014-10']","[0 0 1 1 0 1 0 1 0 1 0 0 0 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 0 0 1 1 0 0 1
 0 1 1 0 1 1 0 1 1 0 1 0 1 0 0 1 1 1 1 1 0 1 1 0 1 0 0 0 1 1 0 1 0 1 1 1 1
 0 0]",76,44,32,0.5789473684210527,0.42105263157894735,76,3215071,4651625,2013-12,2014-10
335881,[5152421],['2015-04'],[0],1,0,1,0.0,1.0,1,5152421,5152421,2015-04,2015-04
139275,[4943454 5267996 5203407 4026095 5514978],['2015-01' '2015-05' '2015-04' '2014-02' '2015-07'],[0 1 0 0 0],5,1,4,0.2,0.8,5,4943454,5514978,2015-01,2015-07
458764,[3105857],['2013-11'],[1],1,1,0,1.0,0.0,1,3105857,3105857,2013-11,2013-11
311311,[4156409],['2014-05'],[0],1,0,1,0.0,1.0,1,4156409,4156409,2014-05,2014-05
335891,[3031213 3036447],['2013-09' '2013-10'],[0 0],2,0,2,0.0,1.0,2,3031213,3036447,2013-09,2013-10
