"EID","TYPECODE","LAWDATE","LAWAMOUNT"
"5986","104115771","2015-07-01","2700"
"5986","83486760","2014-06-01","88500"
"5986","76450675","2014-02-01","1202100"
"5986","97776391","2014-06-01","88500"
"5986","85054730","2014-02-01","1202100"
"10644","61087058","2012-12-01","90000"
"10751","66079746","2012-09-01","0"
"10751","60815833","2013-02-01","258500"
"12168","76452868","2014-03-01","41100"
"12168","81336086","2014-03-01","41100"
"13431","42254671","2012-09-01","21600"
"13431","83561244","2014-04-01","200000"
"13431","73357726","2013-08-01","18000"
"14959","85043621","2014-03-01","3039000"
"14959","97806410","2014-03-01","3039000"
"14959","76432132","2014-03-01","3039000"
"22341","101655092","2015-05-01","2238200"
"22781","91782793","2014-06-01","3000"
"22781","81460313","2014-06-01","3000"
"22781","80142338","2014-05-01","67300"
"22781","97811431","2014-05-01","67300"
"22781","91781045","2014-05-01","67300"
"26642","91873800","2014-07-01","187700"
"28204","75060063","2014-02-01","9100"
"28204","75060065","2014-02-01","7700"
"28204","81307429","2014-02-01","9100"
"28204","81307437","2014-02-01","7700"
"28446","79323528","2014-04-01","697900"
"28446","91726608","2014-04-01","12500"
"28446","91726605","2014-04-01","5200"
"28446","97774707","2014-04-01","697900"
"28446","91726610","2014-04-01","700"
"28446","87374796","2014-04-01","5200"
"28446","87374799","2014-04-01","12500"
"28446","87374801","2014-04-01","700"
"30150","42038921","2012-09-01","341400"
"31614","104195868","2015-07-01","1014400"
"31614","108754218","2015-07-01","1014400"
"35767","108901809","2015-08-01","12900"
"35767","106072542","2015-08-01","12900"
"38431","76433978","2014-01-01","700"
"38431","73360607","2013-10-01","0"
"38431","67928796","2013-07-01","18600"
"38431","62176125","2013-05-01","0"
"38431","60116731","2012-12-01","20000"
"38431","61695845","2013-05-01","0"
"41403","102352942","2015-06-01","16900"
"41403","73357805","2013-08-01","0"
"44329","91684578","2014-09-01","30400"
"47451","91824026","2014-10-01","265300"
"47451","101682847","2015-01-01","269800"
"47451","99032419","2015-01-01","269800"
"49998","61234059","2013-04-01","71800"
"62305","103016423","2015-06-01","900"
"62305","102501734","2015-06-01","900"
"62305","44461560","2012-12-01","900"
"65593","60627346","2013-02-01","1100"
"66085","111544082","2014-12-01","6846000"
"66085","91746879","2014-09-01","6846000"
"66085","111863188","2014-12-01","6846000"
"66085","111863213","2014-09-01","6846000"
"66085","97962042","2014-12-01","6846000"
"66085","111544098","2014-09-01","6846000"
"66085","110604079","2014-11-01","6303000"
"69681","72842535","2013-11-01","8000"
"69810","110865759","2014-02-01","1150000"
"69810","76446201","2014-02-01","1150000"
"69810","79623701","2014-02-01","1150000"
"71306","67575266","2013-10-01","443200"
"71306","105568265","2015-08-01","101200"
"71306","105248169","2015-05-01","276900"
"71306","66086387","2013-05-01","5200"
"71306","66087294","2013-06-01","7100"
"71306","66087292","2013-06-01","7100"
"71306","66087290","2013-06-01","25400"
"71306","67766849","2013-08-01","17512400"
"71306","62001223","2013-06-01","90000"
"71306","91894990","2014-06-01","135000"
"71306","101821799","2015-05-01","276900"
"71306","100469536","2015-04-01","100000"
"71306","67768813","2013-08-01","276300"
"71306","108691075","2015-08-01","232700"
"71306","108756575","2015-08-01","15000"
"71306","107681867","2015-05-01","3822200"
"71306","100469538","2015-04-01","140000"
"71306","100469541","2015-04-01","96000"
"71306","97015608","2015-02-01","215500"
"71306","96451293","2015-01-01","3395800"
"71306","101118353","2015-05-01","3822200"
"71306","85066559","2014-08-01","60300"
"71306","105250816","2015-08-01","15000"
"71306","81380604","2014-05-01","2253400"
"71306","81461169","2014-06-01","135000"
"71306","106299277","2015-08-01","66600"
"71306","93700335","2014-12-01","110000"
"71306","81385716","2014-05-01","72100"
"71306","108756563","2015-08-01","15000"
"71306","108862373","2015-08-01","146900"
"71306","105738465","2015-08-01","232700"
"71306","110505477","2015-04-01","140000"
"71306","110504619","2014-10-01","117200"
"71306","82207749","2014-06-01","265000"
"71306","74417333","2013-04-01","25700"
"71306","97787321","2014-06-01","135000"
"71306","109151475","2015-05-01","50000"
"71306","108756569","2015-08-01","15000"
"71306","110504993","2015-01-01","146300"
"71306","108756582","2015-08-01","10000"
"71306","110505457","2015-04-01","100000"
"71306","109147593","2014-12-01","330200"
"71306","108956945","2015-08-01","66600"
"71306","110505483","2015-04-01","96000"
"71306","105250822","2015-08-01","10000"
"71306","105250818","2015-08-01","15000"
"71306","105250820","2015-08-01","15000"
"71306","105609420","2015-08-01","146900"
"71306","101117498","2015-05-01","50000"
"71306","99275790","2015-03-01","1234800"
"71306","95001466","2014-12-01","56000"
"71306","91782037","2014-05-01","72100"
"71306","91748796","2014-10-01","117200"
"71306","76433212","2014-03-01","126700"
"71306","80129719","2014-04-01","47200"
"71306","80107510","2014-03-01","126700"
"71306","80108071","2014-04-01","99100"
"72989","107674287","2015-04-01","5000"
"72989","100868638","2015-05-01","7800"
"72989","99588966","2015-04-01","5000"
"72989","101818962","2015-05-01","9400"
"72989","101737508","2015-05-01","7800"
"76315","61078767","2013-01-01","50200"
"80938","85274070","2014-08-01","220000"
"80938","101684713","2014-08-01","220000"
"80938","89072934","2014-08-01","220000"
"80938","99040440","2014-08-01","220000"
"86052","109150467","2015-04-01","114000"
"86052","100689815","2015-04-01","114000"
"86217","105252350","2015-08-01","228700"
"94325","75057059","2014-02-01","24937600"
"97304","100333949","2015-03-01","2956800"
"99664","43143613","2012-10-01","0"
"102327","75026459","2014-01-01","153800"
"102327","81326096","2014-01-01","153800"
"102929","67903798","2013-06-01","48400"
"102929","61907675","2013-05-01","798600"
"103381","108760746","2015-05-01","64883400"
"103381","101484975","2015-05-01","64883400"
"111096","104525092","2015-01-01","2810000"
"111096","61119624","2013-02-01","1164300"
"115163","97791501","2014-10-01","6400"
"115163","91896507","2014-10-01","6400"
"116926","61975026","2013-06-01","32100"
"121661","81387085","2014-05-01","46400"
"121661","92773177","2014-05-01","46400"
"121661","79306052","2014-03-01","555300"
"121661","91829726","2014-10-01","166800"
"121661","112203349","2014-12-01","124300"
"121661","97966427","2014-12-01","124300"
"121661","93818225","2014-12-01","394300"
"121661","111864912","2014-12-01","394300"
"121661","85053331","2014-01-01","60800"
"121661","61825375","2013-05-01","64000"
"121661","42091821","2012-09-01","140000"
"121661","85048079","2014-04-01","210000"
"121661","111546779","2014-12-01","394300"
"123028","62099168","2013-06-01","12600"
"128016","96499934","2015-01-01","38900"
"130905","85049804","2014-07-01","140000"
"133723","91763941","2014-08-01","18000"
"133723","85358663","2014-08-01","18000"
"133723","61064249","2012-12-01","5800"
"136999","60059859","2012-12-01","20600"
"138327","98076985","2015-01-01","863600"
"139079","75059179","2014-01-01","7100"
"139079","81306700","2014-01-01","11900"
"139079","91695001","2014-01-01","13300"
"139079","80344495","2014-01-01","9000"
"139079","75059177","2014-01-01","11900"
"139079","80344725","2014-01-01","7100"
"139079","81335223","2014-01-01","22000"
"139079","86799671","2014-01-01","13300"
"139079","75001398","2014-01-01","22000"
"139079","75058422","2014-01-01","9000"
"141519","102926009","2015-06-01","303800"
"141519","42698402","2012-10-01","3894100"
"142352","65974944","2013-03-01","232200"
"142352","97999433","2015-01-01","130000"
"143380","75011482","2014-01-01","4600"
"144254","80306114","2013-12-01","506500"
"144254","80110640","2014-02-01","203000"
"144254","76434859","2014-02-01","203000"
"144254","75025966","2013-12-01","506500"
"144254","98074519","2015-02-01","601100"
"144254","101684095","2015-02-01","601100"
"145588","101230551","2015-05-01","0"
"145588","67782898","2013-09-01","423000"
"145588","99273833","2015-03-01","0"
"145588","99273828","2015-03-01","0"
"145588","99273822","2015-03-01","0"
"145588","75069575","2014-02-01","9500"
"145588","75069570","2014-02-01","147100"
"145588","111894789","2015-08-01","18960700"
"145588","112447516","2015-08-01","18960700"
"145588","91875467","2013-07-01","8989200"
"145588","81437679","2014-06-01","7373000"
"145588","107006189","2015-08-01","18960700"
"145588","83567716","2014-07-01","263900"
"145588","80085681","2014-02-01","9500"
"145588","68729503","2013-07-01","8989200"
"148648","112200183","2015-08-01","1400"
"148648","111974253","2015-08-01","1400"
"148648","99268473","2015-03-01","35000"
"148648","108950531","2015-04-01","10400"
"148648","108895368","2015-08-01","1400"
"148648","99971715","2015-04-01","26800"
"148648","108950492","2015-04-01","26800"
"148648","106054289","2015-08-01","1400"
"148648","99912848","2015-04-01","10400"
"148648","99589033","2015-04-01","15700"
"148648","109015293","2015-03-01","35000"
"148669","93746273","2012-12-01","5000"
"148931","80137922","2014-05-01","34200"
"148931","80137920","2014-05-01","41000"
"151314","43161959","2012-09-01","6000"
"157206","75066790","2014-01-01","50000"
"157206","87768406","2014-09-01","2700"
"157206","86297066","2014-09-01","2700"
"157206","67783734","2013-08-01","2062300"
"157206","62129486","2013-04-01","0"
"157206","62124898","2013-04-01","0"
"157206","62329966","2013-03-01","128400"
"157757","76437049","2014-03-01","2000000"
"157854","79624232","2014-02-01","10000"
"157854","76450833","2014-02-01","10000"
"161482","106054200","2015-04-01","570000"
"161482","100542238","2015-04-01","570000"
"161482","108904999","2015-04-01","570000"
"162979","85064163","2014-07-01","1534900"
"162979","108772111","2015-07-01","60000"
"165709","101888924","2015-05-01","16700"
"165709","104417029","2015-07-01","4000"
"165709","108959306","2015-07-01","4000"
"165709","101656155","2015-05-01","8900"
"165709","101656161","2015-05-01","12100"
