EID,TYPECODE,LAWDATE,LAWAMOUNT,LAWSUIT_CNT,LAWSUIT_LAWAMOUNT_MEAN,LAWSUIT_LAWAMOUNT_SUM,LAWSUIT_FIRST_TIME,LAWSUIT_END_TIME
524304.0,[91145910],['2014-08-01'],[78800],1,78800.0,78800,2014-08,2014-08
262162.0,[85049412 75063767],['2014-01-01' '2014-01-01'],[21800 21800],2,21800.0,43600,2014-01,2014-01
426004.0,"[ 91893183  97784845  79316682  91696905  87375081  93535518 109015215
  99058138  99618322 101231397  99618337]","['2014-04-01' '2014-04-01' '2014-04-01' '2014-05-01' '2014-05-01'
 '2014-12-01' '2015-01-01' '2015-02-01' '2015-04-01' '2015-04-01'
 '2015-04-01']",[20000 20000 20000 28900 28900 22300  5000  4900 35500 42000 42000],11,24500.0,269500,2014-04,2015-04
524310.0,[62204870 62204981],['2013-03-01' '2013-04-01'],[6000 6200],2,6100.0,12200,2013-03,2013-04
294934.0,[107058529 106569021],['2015-08-01' '2015-08-01'],[0 0],2,0.0,0,2015-08,2015-08
393240.0,[60285355 62250996],['2013-01-01' '2013-06-01'],[270000000  39000000],2,154500000.0,309000000,2013-01,2013-06
426008.0,"[ 85042230  85042122  97802397  91667705  85042129  86292813 113239309
 108811631 103023710  99268423 101303257 101303209  98521471  99415166
 102976314 101075804  98521543 103023861 108811583 101075818  99080266
  98521533  98904579 103023854  97924410  98625561  98059195  99080280
  98527592 108811620  99092819  98521535 103023743 101075520 101726517
 101726522  99092942  98059291  99092909  99080269  97924371  98527540
  97924378 101075814 101303262 101726514 101075517 101075511 103024053
 103023695 101303241 103023700 103023914 103023760 108811547 108811638
 108811593 101075673  98521545  97924373  98059043  98527542 101075801
  98059040  99080273  98904577  98059197  97924362  98527536  99268430
 108811652 101075567  97924368  98527586  99080277  97924364  98527560
  98521542 101303216  97924383 103133062  97924366  98059199  98527594
 103023992 101303246  98527538 103025069 100467648 100112029 100467659
 100467664 109142406 103025020 103893670 103893665 106128202]","['2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01' '2014-07-01'
 '2014-08-01' '2015-02-01' '2015-03-01' '2015-03-01' '2015-03-01'
 '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01'
 '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01'
 '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01'
 '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01'
 '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01'
 '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01'
 '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01'
 '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01'
 '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01'
 '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01'
 '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01'
 '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01'
 '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01'
 '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01'
 '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01' '2015-03-01'
 '2015-03-01' '2015-03-01' '2015-04-01' '2015-04-01' '2015-04-01'
 '2015-04-01' '2015-04-01' '2015-04-01' '2015-04-01' '2015-06-01'
 '2015-06-01' '2015-08-01']","[  3000   9500   9500  15600  30700   8500   5000  12000   6000  12300
  12300   6000   7000  37800   7000  27500   4000   7200   6000   4000
   6000   8800   6500   8400   6000  12300   6000   6000   8400   6000
   7500  27500   6000  27800  12000   6000  15400  11000   9900  12000
  11000  27800   6000  10000  22500   6000  27800  34800  37800   7500
  12300  11000   7500  11000 162500   6000   6000   7000   4500   6000
   9500  19700   8800 162500   6000   3900   6000   6000  34800  22500
   6000   6000   7500   6000   6000  12000   5300  10000   8800  12000
  27500   6000  12000   7200   9900  15400  27800   7500   7500   8000
   4200   7500   8000   7500  21000  30600   4800]",97,14815.463917525773,1437100,2014-07,2015-08
196634.0,[108812352],['2014-10-01'],[7100],1,7100.0,7100,2014-10,2014-10
327707.0,[106054300 108895409],['2015-08-01' '2015-08-01'],[22000 25000],2,23500.0,47000,2015-08,2015-08
360476.0,[100254558 104981644 105251752],['2015-04-01' '2015-07-01' '2015-08-01'],[ 69500 235000  87100],3,130533.33333333333,391600,2015-04,2015-08
524318.0,[80346923 76436568],['2014-01-01' '2014-01-01'],[11600 11600],2,11600.0,23200,2014-01,2014-01
426019.0,[76433040 80107471],['2014-03-01' '2014-03-01'],[48800 48800],2,48800.0,97600,2014-03,2014-03
426027.0,[41932173],['2012-09-01'],[21400],1,21400.0,21400,2012-09,2012-09
262187.0,[76450816],['2014-02-01'],[14300],1,14300.0,14300,2014-02,2014-02
131119.0,[80292877],['2013-09-01'],[30300],1,30300.0,30300,2013-09,2013-09
426033.0,"[101355336 108951008 101355339 101355155 101355334 101355331 108951005
 108950786 108753850 108753990 108753993]","['2015-05-01' '2015-05-01' '2015-05-01' '2015-05-01' '2015-05-01'
 '2015-05-01' '2015-05-01' '2015-05-01' '2015-06-01' '2015-06-01'
 '2015-06-01']",[11600  9300  9300 16800  9100 12900 11600 16800 17100 26000 10600],11,13736.363636363636,151100,2015-05,2015-06
196658.0,[73324792 73348975],['2013-09-01' '2013-11-01'],[2502300 2502300],2,2502300.0,5004600,2013-09,2013-11
131123.0,[93537636],['2014-12-01'],[21500],1,21500.0,21500,2014-12,2014-12
65593.0,[60627346],['2013-02-01'],[1100],1,1100.0,1100,2013-02,2013-02
426042.0,[67903643],['2013-06-01'],[38000],1,38000.0,38000,2013-06,2013-06
458810.0,[73343029],['2013-09-01'],[150000],1,150000.0,150000,2013-09,2013-09
64.0,[ 98095142 100468585 107058035 100523408],['2015-02-01' '2015-04-01' '2015-04-01' '2015-04-01'],[  3900   5100 248700 248700],4,126600.0,506400,2015-02,2015-04
71.0,[104890684],['2015-07-01'],[4600],1,4600.0,4600,2015-07,2015-07
524361.0,[80130369 91756304],['2014-05-01' '2014-05-01'],[5640100 5640100],2,5640100.0,11280200,2014-05,2014-05
65610.0,[ 81322068  98522208 108758414 100870701 104311017 106130192],"['2014-04-01' '2015-03-01' '2015-03-01' '2015-05-01' '2015-07-01'
 '2015-08-01']",[   85900 11012400 11012400   115100    83600   111300],6,3736783.3333333335,22420700,2014-04,2015-08
163917.0,[97808798 85044163],['2014-04-01' '2014-04-01'],[309000 309000],2,309000.0,618000,2014-04,2014-04
491608.0,[87787230 92537338 99315826],['2014-08-01' '2014-12-01' '2014-12-01'],[1082500  962400  595900],3,880266.6666666666,2640800,2014-08,2014-12
491614.0,[79620137 76430475],['2014-02-01' '2014-02-01'],[10000 10000],2,10000.0,20000,2014-02,2014-02
458853.0,[101656887 105605101],['2015-05-01' '2015-08-01'],[28400  9600],2,19000.0,38000,2015-05,2015-08
393321.0,[107680635],['2015-06-01'],[44800],1,44800.0,44800,2015-06,2015-06
32877.0,[61828196],['2013-03-01'],[7500],1,7500.0,7500,2013-03,2013-03
458862.0,"[ 98816148  98837236 100385720 110976195 100385712 110976211 107681596
  99619735]","['2015-01-01' '2015-01-01' '2015-04-01' '2015-04-01' '2015-04-01'
 '2015-04-01' '2015-04-01' '2015-04-01']",[10000000 10000000  9945300 10559600 10559600  9945300  3300600  3300600],8,8451375.0,67611000,2015-01,2015-04
98417.0,[ 61101919 102527923],['2013-02-01' '2015-06-01'],[110000  10100],2,60050.0,120100,2013-02,2015-06
117.0,[102153743 103054609],['2015-06-01' '2015-06-01'],[193700 193700],2,193700.0,387400,2015-06,2015-06
120.0,[73389225 75068900 74172477 87490503],['2013-07-01' '2014-02-01' '2014-02-01' '2014-08-01'],[  10000   10000 1030000 1157200],4,551800.0,2207200,2013-07,2014-08
65659.0,[ 91691055 101684725  86798476  99040524],['2014-09-01' '2014-09-01' '2014-09-01' '2014-09-01'],[116300 116300 116300 116300],4,116300.0,465200,2014-09,2014-09
32893.0,[106298662 108953393],['2015-08-01' '2015-08-01'],[270100 270100],2,270100.0,540200,2015-08,2015-08
229510.0,[101684286  97935281],['2014-12-01' '2014-12-01'],[6000 6000],2,6000.0,12000,2014-12,2014-12
65679.0,"[ 60536995  61113237  61928457  73323717  75019103  79916900  79916902
  75019105  79948967  75022941  75056969  80323274  72988255  75059586
  81307062  81333974  81333990  83504223  83504229  97803506  85053295
  97932184 101682335  92565212  91752015  96511945  96511947 110607253
 104979939]","['2013-01-01' '2013-03-01' '2013-05-01' '2013-07-01' '2013-09-01'
 '2013-09-01' '2013-09-01' '2013-09-01' '2013-12-01' '2013-12-01'
 '2014-01-01' '2014-01-01' '2014-01-01' '2014-02-01' '2014-02-01'
 '2014-03-01' '2014-04-01' '2014-05-01' '2014-05-01' '2014-07-01'
 '2014-07-01' '2014-09-01' '2014-09-01' '2014-10-01' '2014-10-01'
 '2014-12-01' '2014-12-01' '2015-07-01' '2015-07-01']","[  38800  900000 3042100  116000  132400  132400  269700  269700   17900
   17900  116000 2310900 2310900  343300  343300  251800 1007800  118200
   65100   72200   72200    9100    9100   80700   21900 1168600  535700
  198900  198900]",29,488672.4137931034,14171500,2013-01,2015-07
143.0,[109161818 101170159 104248014 104195493 106924263],['2015-05-01' '2015-05-01' '2015-07-01' '2015-07-01' '2015-08-01'],[1000000 1000000   61600   13500 1525600],5,720140.0,3600700,2015-05,2015-08
65681.0,[80052877 75014285],['2014-01-01' '2014-01-01'],[1100 1100],2,1100.0,2200,2014-01,2014-01
426136.0,[99053079],['2015-02-01'],[10200],1,10200.0,10200,2015-02,2015-02
