EID,TYPECODE,FBDATE,SXENDDATE
10751,1270862,2015/3/1,
10751,1271420,2015/3/1,
10751,66052879,2015/3/1,
10751,66062576,2015/3/1,
26642,289401,2014/8/1,
26642,83521583,2014/8/1,
28204,536301,2014/9/1,
28204,81307437,2014/9/1,
66085,812594,2014/12/1,
66085,91060948,2014/12/1,
71306,1445714,2015/4/1,
80938,908218,2014/12/1,
80938,89072934,2014/12/1,
102327,162694,2014/6/1,
102327,80348889,2014/6/1,
113907,1045611,2015/1/1,
113907,1498704,2015/4/1,
113907,1497269,2015/4/1,
113907,65987607,2015/1/1,
113907,15085743,2015/4/1,
113907,34215156,2015/4/1,
121661,814305,2014/12/1,
121661,1140188,2015/1/1,
121661,1140186,2015/1/1,
121661,91829726,2015/1/1,
121661,79306052,2014/12/1,
130905,241038,2014/8/1,2015/7/1
144254,171410,2014/6/1,
144254,80110640,2014/6/1,
145588,744339,2014/11/1,
145588,81437679,2014/11/1,
148648,2333207,2015/8/1,
148648,99589033,2015/8/1,
148931,1106374,2015/1/1,
148931,80137920,2015/1/1,
203590,404386,2014/8/1,
209166,219898,2014/7/1,
212895,11117,2013/10/1,
212895,60087942,2013/10/1,
213603,893080,2014/12/1,
213603,287522,2014/10/1,
213603,83574460,2014/10/1,
214508,1937737,2015/7/1,
214508,102686366,2015/7/1,
216953,236891,2014/8/1,
216953,2179257,2015/8/1,
216953,101483186,2015/8/1,
273189,1581190,2015/5/1,
273189,96486484,2015/5/1,
290294,1439216,2015/4/1,
305036,603443,2014/10/1,
305036,603440,2014/10/1,
305036,79552979,2014/10/1,
305036,79518535,2014/10/1,
313644,1642285,2015/5/1,
313644,98464406,2015/5/1,
358730,562609,2014/11/1,
358730,85059340,2014/11/1,
370187,795733,2014/12/1,
370187,795884,2014/12/1,
370187,89088556,2014/12/1,
370187,89119010,2014/12/1,
377796,725152,2014/11/1,
377796,220984,2014/8/1,
377796,220981,2014/8/1,
377796,237079,2014/8/1,
377796,220834,2014/7/1,
377796,220903,2014/7/1,
377796,21963359,2014/8/1,
377796,80071235,2014/7/1,
377796,87370643,2014/11/1,
377796,700661457,2014/8/1,
377796,81378728,2014/7/1,
377796,21963211,2014/8/1,
384473,1371364,2015/3/1,2015/7/1
397841,1069132,2015/1/1,
397841,29535997,2015/1/1,
404254,1621496,2015/5/1,
404254,1621511,2015/5/1,
404254,96509603,2015/5/1,
404254,96509718,2015/5/1,
409701,808950,2014/12/1,2015/7/1
409701,1498694,2015/4/1,
409701,14945186,2015/4/1,
431319,2058040,2015/7/1,
432517,1404001,2015/4/1,
432517,96522541,2015/4/1,
444586,1268340,2015/3/1,
444586,66047886,2015/3/1,
450186,19646,2013/10/1,
450878,1066077,2015/1/1,
475816,1446943,2015/4/1,
478104,1404261,2015/4/1,
478104,96515394,2015/4/1,
