EID,TYPECODE,FBDATE,SXENDDATE,BREAKFAITH_CNT,BREAKFAITH_FIRST_FIRST_TIME,BREAKFAITH_FIRST_END_TIME,BREAKFAITH_END_FIRST_TIME
346112,[  310487   172536 79640528],['2014-08' '2014-06' '2014-06'],['2018-01' '2018-01' '2018-01'],3,2014-08,2014-06,2018-01
493575,[ 1190868 96509148],['2015-02' '2015-02'],['2018-01' '2018-01'],2,2015-02,2015-02,2018-01
114696,[ 1804463 96486267],['2015-06' '2015-06'],['2018-01' '2018-01'],2,2015-06,2015-06,2018-01
342025,[  174853 41163579],['2014-06' '2014-06'],['2018-01' '2018-01'],2,2014-06,2014-06,2018-01
376845,[  510385 83560448],['2014-09' '2014-09'],['2018-01' '2018-01'],2,2014-09,2014-09,2018-01
45070,[1201469],['2015-02'],['2015-07'],1,2015-02,2015-02,2015-07
26642,[  289401 83521583],['2014-08' '2014-08'],['2018-01' '2018-01'],2,2014-08,2014-08,2018-01
493587,"[  929119   929180   929238   929265   929159   929171   929237   929247
   929253   929137   929149   929125   929164   929132   929143   929258
    10154  1582519 61028271 66070737 66070743 66070731 66070746 66070749
 66070740 66070755 66070734 66070750 93701852 66070875 66070781 66070776
 66070768 66070756]","['2014-12' '2014-12' '2014-12' '2014-12' '2014-12' '2014-12' '2014-12'
 '2014-12' '2014-12' '2014-12' '2014-12' '2014-12' '2014-12' '2014-12'
 '2014-12' '2014-12' '2013-10' '2015-05' '2013-10' '2014-12' '2014-12'
 '2014-12' '2014-12' '2014-12' '2014-12' '2014-12' '2014-12' '2014-12'
 '2015-05' '2014-12' '2014-12' '2014-12' '2014-12' '2014-12']","['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01']",34,2014-12,2014-12,2018-01
426004,[ 1511775  1602469 99618322],['2015-04' '2015-05' '2015-05'],['2015-07' '2018-01' '2018-01'],3,2015-04,2015-05,2015-07
434196,[  218777 73332656],['2014-07' '2014-07'],['2018-01' '2018-01'],2,2014-07,2014-07,2018-01
32789,[ 1050698 65979281],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
278552,[  817513 38067508],['2014-12' '2014-12'],['2018-01' '2018-01'],2,2014-12,2014-12,2018-01
280601,[  1636222 100871089],['2015-05' '2015-05'],['2018-01' '2018-01'],2,2015-05,2015-05,2018-01
24602,[218049],['2014-08'],['2018-01'],1,2014-08,2014-08,2018-01
442395,[  1989537 101090387],['2015-07' '2015-07'],['2018-01' '2018-01'],2,2015-07,2015-07,2018-01
147482,[1136988],['2015-01'],['2015-07'],1,2015-01,2015-01,2015-07
112669,[ 1095962 66051746],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
503838,[1118229],['2015-03'],['2015-07'],1,2015-03,2015-03,2015-07
360476,[2299353],['2015-08'],['2018-01'],1,2015-08,2015-08,2018-01
444449,[ 1265124 17985944],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
434209,[  654863   650033  1621667  1622628 96521732 85961630 79322313 92781854],"['2014-11' '2014-11' '2015-05' '2015-05' '2015-05' '2014-11' '2014-11'
 '2015-05']","['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01']",8,2014-11,2015-05,2018-01
