"EID","WZCODE","RECRNUM","RECDATE"
"1382","ZP02","8","2015-08"
"2480","ZP02","2124","2015-08"
"2821","ZP03","4","2015-01"
"3324","ZP02","15","2015-08"
"3324","ZP03","10","2015-08"
"3529","ZP03","23","2015-08"
"3728","ZP02","21","2015-08"
"3728","ZP03","1","2015-01"
"4253","ZP01","1","2015-01"
"4253","ZP03","8","2015-07"
"4595","ZP02","8","2015-08"
"4950","ZP02","1","2015-05"
"5986","ZP02","116","2015-08"
"6248","ZP01","7","2015-08"
"7004","ZP02","13","2015-08"
"7004","ZP03","3","2015-08"
"7708","ZP02","8","2015-08"
"9900","ZP03","3","2015-08"
"9903","ZP03","2","2015-04"
"10001","ZP02","1","2015-06"
"10297","ZP02","6","2015-06"
"10297","ZP03","8","2015-08"
"12937","ZP02","1","2015-08"
"12937","ZP03","10","2015-08"
"13854","ZP02","13","2015-06"
"13854","ZP03","6","2015-04"
"13859","ZP03","22","2015-08"
"14711","ZP01","3","2015-06"
"14711","ZP02","34","2015-08"
"14711","ZP03","23","2015-08"
"18078","ZP02","24","2015-08"
"18078","ZP03","16","2015-08"
"18599","ZP02","20","2015-08"
"18884","ZP01","7","2015-06"
"19295","ZP03","1","2015-08"
"19315","ZP01","3","2015-02"
"19315","ZP02","7","2015-04"
"19484","ZP02","12","2015-08"
"19484","ZP03","20","2015-04"
"20807","ZP02","7","2015-08"
"20807","ZP03","5","2015-08"
"21543","ZP02","52","2015-03"
"22956","ZP02","16","2015-04"
"22956","ZP03","10","2015-06"
"23070","ZP02","1","2015-06"
"24369","ZP02","9","2015-05"
"24630","ZP02","18","2015-05"
"24630","ZP03","10","2015-01"
"25758","ZP02","174","2015-08"
"26118","ZP02","2","2015-08"
"26776","ZP01","6","2015-07"
"26776","ZP02","17","2015-08"
"27192","ZP02","11","2015-06"
"27192","ZP03","3","2015-04"
"28007","ZP02","2","2015-04"
"28007","ZP03","7","2015-07"
"30130","ZP01","1","2015-08"
"30130","ZP02","4","2015-08"
"30130","ZP03","4","2015-08"
"32145","ZP02","6","2015-08"
"32402","ZP01","10","2015-05"
"33763","ZP01","1","2015-02"
