EID,WZCODE,RECRNUM,RECDATE,RECRUIT_CNT,RECRUIT_WZCODE_CNT,RECRUIT_RECRNUM_AVG,RECRUIT_RECRNUM_SUM,RECRUIT_RECRNUM_MAX,RECRUIT_RECRNUM_MIN,RECRUIT_FIRST_TIME,RECRUIT_END_TIME
393217.0,['ZP03'],[ 1.],['2015-03'],1,1,1.0,1.0,1.0,1.0,2015-03,2015-03
524290.0,['ZP01' 'ZP02' 'ZP03'],[ 25.65832396   1.           2.        ],['2014-09' '2015-03' '2015-03'],3,3,9.552774653168354,28.65832395950506,25.65832395950506,1.0,2014-09,2015-03
163842.0,['ZP02' 'ZP03'],[ 29.   4.],['2015-06' '2015-08'],2,2,16.5,33.0,29.0,4.0,2015-06,2015-08
458761.0,['ZP02'],[ 1.],['2015-07'],1,1,1.0,1.0,1.0,1.0,2015-07,2015-07
491532.0,['ZP02'],[ 65.],['2015-06'],1,1,65.0,65.0,65.0,65.0,2015-06,2015-06
15.0,['ZP02'],[ 25.],['2015-07'],1,1,25.0,25.0,25.0,25.0,2015-07,2015-07
65552.0,['ZP02'],[ 18.],['2015-08'],1,1,18.0,18.0,18.0,18.0,2015-08,2015-08
524304.0,['ZP02'],[ 25.],['2015-08'],1,1,25.0,25.0,25.0,25.0,2015-08,2015-08
131090.0,['ZP03'],[ 18.],['2015-08'],1,1,18.0,18.0,18.0,18.0,2015-08,2015-08
20.0,['ZP01' 'ZP02'],[ 25.65832396  25.65832396],['2014-10' '2014-12'],2,2,25.65832395950506,51.31664791901012,25.65832395950506,25.65832395950506,2014-10,2014-12
426008.0,['ZP02' 'ZP03'],[ 28.   3.],['2015-06' '2015-06'],2,2,15.5,31.0,28.0,3.0,2015-06,2015-06
196632.0,['ZP03'],[ 7.],['2015-08'],1,1,7.0,7.0,7.0,7.0,2015-08,2015-08
524315.0,['ZP02'],[ 5.],['2015-08'],1,1,5.0,5.0,5.0,5.0,2015-08,2015-08
65564.0,['ZP03'],[ 6.],['2015-06'],1,1,6.0,6.0,6.0,6.0,2015-06,2015-06
327710.0,['ZP03'],[ 10.],['2015-08'],1,1,10.0,10.0,10.0,10.0,2015-08,2015-08
262177.0,['ZP03'],[ 4.],['2015-02'],1,1,4.0,4.0,4.0,4.0,2015-02,2015-02
229410.0,['ZP02'],[ 6.],['2015-04'],1,1,6.0,6.0,6.0,6.0,2015-04,2015-04
426019.0,['ZP02'],[ 25.65832396],['2014-09'],1,1,25.65832395950506,25.65832395950506,25.65832395950506,25.65832395950506,2014-09,2014-09
426020.0,['ZP03' 'ZP02'],[  3.  44.],['2015-07' '2015-08'],2,2,23.5,47.0,44.0,3.0,2015-07,2015-08
458785.0,['ZP02'],[ 25.],['2015-08'],1,1,25.0,25.0,25.0,25.0,2015-08,2015-08
32803.0,['ZP02'],[ 16.],['2015-08'],1,1,16.0,16.0,16.0,16.0,2015-08,2015-08
32802.0,['ZP03'],[ 23.],['2015-08'],1,1,23.0,23.0,23.0,23.0,2015-08,2015-08
327721.0,['ZP03'],[ 5.],['2015-07'],1,1,5.0,5.0,5.0,5.0,2015-07,2015-07
196650.0,['ZP02' 'ZP01'],[ 17.  12.],['2015-08' '2015-08'],2,2,14.5,29.0,17.0,12.0,2015-08,2015-08
491567.0,['ZP02' 'ZP03'],[ 47.  48.],['2015-08' '2015-08'],2,2,47.5,95.0,48.0,47.0,2015-08,2015-08
426032.0,['ZP03' 'ZP02'],[ 35.  34.],['2015-06' '2015-06'],2,2,34.5,69.0,35.0,34.0,2015-06,2015-06
426033.0,['ZP02'],[ 18.],['2015-07'],1,1,18.0,18.0,18.0,18.0,2015-07,2015-07
393267.0,['ZP03'],[ 7.],['2015-06'],1,1,7.0,7.0,7.0,7.0,2015-06,2015-06
98356.0,['ZP03' 'ZP02'],[  4.  14.],['2015-06' '2015-08'],2,2,9.0,18.0,14.0,4.0,2015-06,2015-08
